,winner,method,weightclass,red_slpm,red_str_acc,red_sapm,red_str_def,red_td_avg,red_td_acc,red_td_def,red_sub_avg,blue_slpm,blue_str_acc,blue_sapm,blue_str_def,blue_td_avg,blue_td_acc,blue_td_def,blue_sub_avg,red_fighter_elo,blue_fighter_elo
34,0,1,2,3.4,0.38,3.34,0.51,2.87,0.34,0.56,1.1,6.4,0.49,6.21,0.48,1.63,0.48,0.63,0.8,1564.0973775136438,1532.1560413294717
35,0,1,7,2.1,0.45,2.5,0.55,1.25,0.35,0.4,0.2,5.27,0.51,4.51,0.59,1.05,0.43,0.48,0.0,1496.2309897115013,1517.3361163038724
36,1,4,3,4.4,0.51,2.63,0.6,0.18,0.25,0.67,0.7,1.62,0.33,3.2,0.55,3.54,0.37,0.5,0.0,1487.235481905845,1468.0849342287408
37,0,1,7,2.77,0.46,8.16,0.39,2.62,0.75,0.83,1.3,7.54,0.6,2.53,0.61,0.88,0.2,0.0,0.4,1486.6423011778268,1529.760372679408
38,1,5,9,3.07,0.54,1.91,0.62,0.33,0.11,0.5,0.3,2.5,0.42,2.79,0.33,1.63,0.36,0.8,0.0,1531.6519328027953,1469.5231424060482
39,0,6,2,3.75,0.35,4.46,0.6,1.09,0.37,0.46,0.1,4.53,0.54,2.48,0.61,1.45,0.54,0.52,0.5,1579.745032249749,1624.568148065059
40,1,6,2,1.87,0.62,1.22,0.49,3.98,0.48,0.5,1.8,2.48,0.5,2.49,0.42,2.49,0.68,0.56,1.0,1570.947313984958,1534.5465226110744
41,0,1,0,1.91,0.38,3.46,0.39,2.29,0.66,0.64,0.8,4.92,0.67,2.35,0.39,3.27,0.33,0.37,0.4,1469.4068247769808,1530.5274995593825
42,1,6,7,3.42,0.43,3.28,0.55,0.71,0.26,0.81,0.0,3.05,0.45,3.43,0.53,1.86,0.31,0.42,1.4,1557.172634218966,1508.7963793913166
43,1,1,3,3.2,0.4,3.82,0.46,1.11,0.28,0.65,0.6,5.34,0.48,3.74,0.58,0.68,0.16,0.5,0.0,1469.837020122773,1481.7864656592865
44,1,4,7,1.77,0.68,1.74,0.48,9.31,0.6,0.0,1.1,1.1,0.58,2.11,0.23,0.0,0.0,0.55,1.4,1515.263693206478,1468.736306793522
45,0,5,11,6.45,0.41,6.55,0.51,0.86,0.62,0.64,0.0,2.35,0.5,2.73,0.67,1.93,0.33,0.42,2.3,1454.1119100419369,1515.2583451880105
46,1,1,8,5.16,0.44,7.92,0.46,0.0,0.0,0.41,0.0,6.3,0.4,6.67,0.56,0.0,0.0,0.6,0.0,1460.4051482813063,1481.3422254588031
47,1,6,12,3.87,0.56,2.47,0.52,2.03,0.51,0.73,0.1,4.28,0.47,4.07,0.59,0.0,0.0,0.47,0.0,1567.2730169915153,1428.3114331215536
48,1,6,0,7.17,0.53,5.19,0.48,1.04,0.42,0.81,0.3,3.21,0.48,3.39,0.5,2.73,0.25,0.66,0.0,1535.7459563755815,1469.7186528456157
49,1,6,4,4.67,0.53,5.0,0.55,0.17,0.2,1.0,0.2,2.4,0.25,3.87,0.45,0.0,0.0,1.0,0.0,1567.023777187616,1486.4429806483688
50,0,6,12,3.49,0.41,5.23,0.41,0.36,0.11,0.25,0.5,2.62,0.33,3.77,0.53,2.5,0.2,0.5,0.2,1510.7960016031434,1516.5896160561508
51,1,6,3,3.96,0.44,3.62,0.6,1.51,0.44,0.64,0.4,4.45,0.46,4.03,0.52,0.84,0.26,0.63,0.3,1596.427510050283,1505.2794401256392
52,1,1,6,7.87,0.6,4.2,0.52,2.0,0.66,0.88,1.0,4.36,0.4,4.33,0.51,0.66,0.17,0.56,0.1,1546.2196815108168,1518.1285069239225
53,1,5,3,3.44,0.44,5.08,0.42,0.0,0.0,0.33,1.7,5.02,0.56,4.69,0.53,0.0,0.0,0.6,0.2,1501.0767818336844,1466.8298335509912
54,1,6,0,1.51,0.44,1.37,0.5,4.01,0.41,0.0,1.1,3.57,0.37,4.0,0.53,0.59,0.4,0.58,0.5,1556.8168932860194,1446.4471009026477
55,1,1,0,5.4,0.52,2.7,0.67,0.0,0.0,1.0,0.0,2.67,0.4,4.13,0.46,1.07,0.25,0.38,1.4,1514.5658754854226,1454.208704405888
56,0,6,3,2.71,0.43,3.8,0.44,1.09,0.36,0.64,0.8,5.1,0.44,5.99,0.51,0.0,0.0,0.65,0.0,1509.5727484234285,1487.4803139706023
57,0,1,7,2.18,0.36,5.25,0.47,0.45,0.33,0.31,0.0,6.06,0.64,2.23,0.51,0.0,0.0,0.9,0.0,1468.7350047589357,1515.263630490503
58,0,6,2,3.63,0.5,2.66,0.54,1.84,0.46,0.69,1.2,3.86,0.49,2.72,0.52,1.95,0.34,0.54,1.2,1488.0971821234732,1549.6497805175252
