fighter_name,elo,fights,wins,win_ratio
Nick Catone,1481.9676333601933,4,2,0.5
Gregory Rodrigues,1614.6214436886034,10,7,0.7
Gilbert Yvel,1441.5257613624133,2,0,0.0
Alex Oliveira,1509.703080509022,21,11,0.5238095238095238
Anshul Jubli,1461.8336121296018,3,1,0.3333333333333333
Valerie Letourneau,1486.778570025337,6,3,0.5
Josh Fremd,1468.8036053718772,6,2,0.3333333333333333
Albert Morales,1412.9073341676456,5,1,0.2
Justin Frazier,1461.6,1,0,0.0
KJ Noons,1462.8295633310315,5,2,0.4
Kiichi Kunimoto,1509.4627862905113,5,3,0.6
Minotauro Nogueira,1461.151134022345,6,2,0.3333333333333333
Ricardo Almeida,1496.658467534252,4,2,0.5
Gleison Tibau,1522.131656678845,18,10,0.5555555555555556
Michal Figlak,1439.767780699896,2,0,0.0
Jack Jenkins,1511.1229548212596,5,3,0.6
Austin Lingo,1459.0605924507506,5,2,0.4
Ben Sosoli,1471.2,1,0,0.0
Domingo Pilarte,1453.0530195193585,3,0,0.0
Darren Uyenoyama,1503.7956757013035,4,2,0.5
Elves Brener,1530.6296616533907,5,3,0.6
Ramsey Nijem,1508.1281014167648,10,5,0.5
Tateki Matsuda,1451.8251178453136,2,0,0.0
Philipe Lins,1563.2860699777602,6,4,0.6666666666666666
Natan Levy,1482.2505027981988,4,2,0.5
Diana Belbita,1396.7262779750238,8,2,0.25
Maki Pitolo,1397.6205605192472,6,1,0.16666666666666666
Anthony Pettis,1644.6434347607094,20,11,0.55
Jason MacDonald,1430.163139215748,4,1,0.25
Issei Tamura,1465.2738722257845,3,1,0.3333333333333333
Mads Burnell,1467.5296957343173,3,1,0.3333333333333333
Gokhan Saki,1497.418342822733,2,1,0.5
Maxim Grishin,1478.3389329084384,5,2,0.4
Cody Durden,1509.506126741661,11,6,0.5454545454545454
Pete Rodriguez,1464.41959819258,3,1,0.3333333333333333
Josh Copeland,1442.8322034787118,2,0,0.0
Alan Jouban,1575.5281791872019,13,8,0.6153846153846154
Carlston Harris,1555.4947963665118,7,4,0.5714285714285714
Uriah Hall,1620.944416138073,20,11,0.55
Tatsuro Taira,1646.4397261723077,7,6,0.8571428571428571
Vik Grujic,1441.6314230700532,4,1,0.25
Ashlee Evans-Smith,1421.5723504310595,9,3,0.3333333333333333
Clay Harvison,1442.1349124532476,3,1,0.3333333333333333
Yancy Medeiros,1505.4563914855548,14,6,0.42857142857142855
James Bochnovic,1421.4733863349322,2,0,0.0
Sean McCorkle,1453.557809561027,3,1,0.3333333333333333
David Mitchell,1426.9315480718603,5,1,0.2
Miguel Torres,1495.4779921464985,4,2,0.5
Da'Mon Blackshear,1572.8619693755804,8,5,0.625
Casey O'Neill,1578.8949848961067,7,5,0.7142857142857143
Charlie Brenneman,1408.935980400325,11,4,0.36363636363636365
Andrew Holbrook,1432.0907176243998,5,2,0.4
Nordine Taleb,1533.317836042306,12,7,0.5833333333333334
Josh Stansbury,1452.9853575123402,3,1,0.3333333333333333
Keith Jardine,1474.4,1,0,0.0
Karol Rosa,1528.6199273401755,10,6,0.6
Carli Judice,1504.8392064961886,2,1,0.5
Cristina Stanciu,1433.8355630992924,2,0,0.0
Stephan Bonnar,1567.3403228826696,4,3,0.75
Fredson Paixao,1461.6,1,0,0.0
Ricky Rainey,1429.333502895324,2,0,0.0
Steve Cantwell,1414.6905553478161,3,0,0.0
Khamzat Chimaev,1756.6182030819357,8,8,1.0
Lewis Gonzalez,1469.6540462491437,1,0,0.0
Jeremy Larsen,1396.9009998871923,3,0,0.0
Che Mills,1534.3270904013436,3,2,0.6666666666666666
Mike Santiago,1399.4260736803617,3,0,0.0
Cesar Almeida,1571.810871711663,4,3,0.75
Philip De Fries,1451.672532903756,5,2,0.4
Dave Herman,1402.5629022964015,5,1,0.2
Ben Askren,1507.6980296490838,3,1,0.3333333333333333
Brandon Jenkins,1430.9476980749905,2,0,0.0
Bryce Mitchell,1614.6606241769778,11,8,0.7272727272727273
Marco Polo Reyes,1425.0412644824348,2,0,0.0
Alex Nicholson,1457.2521604310139,4,1,0.25
Song Kenan,1499.8565127277438,11,6,0.5454545454545454
Rinya Nakamura,1546.966068170927,4,3,0.75
Kamal Shalorus,1408.6466253846315,3,0,0.0
Norifumi Yamamoto,1408.2321019625979,3,0,0.0
Bryan Barberena,1504.0748778080292,19,9,0.47368421052631576
Luke Rockhold,1577.060173304036,11,6,0.5454545454545454
Mike de la Torre,1440.1139397637012,6,2,0.3333333333333333
Zabit Magomedsharipov,1669.4370897277154,6,6,1.0
Steve Erceg,1520.3089928975514,6,3,0.5
Valter Walker,1535.1853375712212,3,2,0.6666666666666666
Mike Wilkinson,1507.6267876829188,4,2,0.5
Bruno Korea,1471.2,1,0,0.0
Jianping Yang,1471.2,1,0,0.0
Craig White,1447.4764184594535,2,0,0.0
Payton Talbott,1571.9442514624288,4,3,0.75
Rhys McKee,1438.4155680721778,5,1,0.2
Callan Potter,1458.0906821667575,3,1,0.3333333333333333
Bryan Battle,1657.5756816784651,8,7,0.875
Esteban Ribovics,1543.5584667788823,5,3,0.6
Jalin Turner,1569.732319763959,13,7,0.5384615384615384
Anthony Rocco Martin,1613.5413090873421,13,8,0.6153846153846154
Tagir Ulanbekov,1615.9136740904632,6,5,0.8333333333333334
Demetrious Johnson,1763.8704403766046,17,15,0.8823529411764706
Chris Cope,1439.9840848373801,3,1,0.3333333333333333
Tim Hague,1443.0666939013015,2,0,0.0
Junyong Park,1511.8192732793595,3,2,0.6666666666666666
Diego Ferreira,1630.011553199002,16,10,0.625
